title,journal,authors,year
Factors Affecting Retirement Income.," Monthly Labor Review 116,3 ","Wiatrowski, William J. ",1993
A Multilevel Approach to the Relationship Between Birth Order and Intelligence .," Personality and Social Psychology Bulletin 32,1 ","Wichman, Aaron L., Joseph Lee Rodgers and Robert C. MacCallum. ",2006
Birth Order Has No Effect on Intelligence: A Reply and Extension of Previous Findings.," Personality and Social Psychology Bulletin 33,9 ","Wichman, Aaron L., Joseph Lee Rodgers and Robert C. MacCallum. ",2007
Mass Incarceration and Subsequent Preventive Health Care: Mechanisms and Racial/Ethnic Disparities., American Journal of Public Health published online ,"Widdowson, Alex O. and Benjamin W. Fisher. ",2020
The School-to-Gang Pipeline: Examining the Impact of School Suspension on Joining a Gang for the First Time., Crime and Delinquency published online ,"Widdowson, Alex O., L. Sergio Garduno and Benjamin W. Fisher. ",2020
Romantic Partners and Young Adult Offending: Considering the Role of Partner's Socioeconomic Characteristics., Criminology published online ,"Widdowson, Alex O., Carter Hay and Sonja E. Siennick. ",2021
Together Despite the Odds: Explaining Racial and Ethnic Heterogeneity in Union Dissolution after Incarceration.," Criminology 58,1 ","Widdowson, Alex O., Wade C. Jacobsen, Sonja E. Siennick and Patricia Y. Warren. ",2020
The Effects of Residential Mobility on Criminal Persistence and Desistance during the Transition to Adulthood., Journal of Research in Crime and Delinquency published online ,"Widdowson, Alex O. and Sonja E. Siennick. ",2020
The Implications of Arrest for College Enrollment: An Analysis of Long-Term Effects and Mediating Mechanisms.," Criminology 54,4 ","Widdowson, Alex O., Sonja E. Siennick and Carter Hay. ",2016
The Effectiveness of Alternative Methods of Searching for Jobs and Finding Them: An Exploratory Analysis of the Data Bearing Upon Coping with Joblessness.," American Journal of Economics and Sociology 46,2 ","Wielgosz, John B. and Susan A. Carpenter. ",1987
There's No Place Like Home: The Relationship of Nonstandard Employment and Home Ownership over the 1990s.," American Journal of Economics and Sociology 63,4 ","Wiens-Tuers, Barbara A. ",2004
How Did We Get Here from There? Movement into Temporary Employment.," Journal of Economic Issues 36,2 ","Wiens-Tuers, Barbara A. and Elizabeth T. Hill. ",2002
Late Life Cognition Among Men: A Life Course Perspective On Psychosocial Experience.," Archives of Gerontology and Geriatrics 37,2 ","Wight, Richard G., Carol S. Aneshensel, Melvin Seeman and Teresa E. Seeman. ",2003
"Educational Attainment, Continued Learning Experience, and Cognitive Function among Older Men."," Journal of Aging and Health 14,2 ","Wight, Richard G., Carol S. Aneshensel and Teresa E. Seeman. ",2002
"Parental Imprisonment, the Prison Boom, and the Concentration of Childhood Disadvantage."," Demography 46,2 ","Wildeman, Christopher. ",2009
Teenage Childbearing Among Youth Born to Teenage Mothers.," Youth and Society 44,2 ","Wildsmith, Elizabeth, Jennifer S. Manlove, Susan Marie Jekielek, Kristin Anderson Moore and Lisa A. Mincieli. ",2012
Longitudinal Analysis of Ability-Job Complexity Fit and Job Change.," Personnel Psychology 49,4 ","Wilk, Steffanie Louise and Paul R. Sackett. ",1996
Wealth in Middle and Later Life: Examining the Life Course Timing of Women's Health Limitations.," The Gerontologist 59,5 ","Wilkinson, Lindsay R., Kenneth Ferraro and Sarah Mustillo. ",2019
Does Occupational Mobility Influence Health among Working Women? Comparing Objective and Subjective Measures of Work Trajectories.," Journal of Health and Social Behavior 53,4 ","Wilkinson, Lindsay R., Tetyana P. Shippee and Kenneth Ferraro. ",2012
Does Remarriage Matter? The Well-Being of Adolescents Living with Cohabiting versus Remarried Mothers.," Journal of Divorce and Remarriage 41,3/4 ","Willetts, Marion C. and Nick G. Maroules. ",2004
Controlling for Ability Using Test Scores.," Journal of Applied Econometrics 34,4 ","Williams, Benjamin. ",2019
Identification of a Nonseparable Model under Endogeneity Using Binary Proxies for Unobserved Heterogeneity.," Quantitative Economics 10,2 ","Williams, Benjamin. ",2019
Consequences in Self-Employment for Women and Men in the United States.," Labour Economics 7,5 ","Williams, Donald R. ",2000
Job Characteristics and the Labor Force Participation Behavior of Black and White Male Youth.," Review of Black Political Economy 18,2 ","Williams, Donald R. ",1989
Youth Self Employment: Its Nature and Consequences.," Small Business Economics 23,4 ","Williams, Donald R. ",2004
Changing Racial/Ethnic Disparities in Heavy Drinking Trajectories through Young Adulthood: A Comparative Cohort Study.," Alcoholism: Clinical and Experimental Research 42,1 ","Williams, Edwina, Nina Mulia, Katherine J. Karriker-Jaffe and Camillia K. Lui. ",2018
Property Crime: Investigating Career Patterns and Earnings., Journal of Economic Behavior and Organization 119 ,"Williams, Geoffrey. ",2015
The Thief's Wages: Theft and Human Capital Development .," Oxford Economic Papers 70,2 ","Williams, Geoffrey. ",2018
Hazardous or Not? Cannabis Use and Early Labor Market Experiences of Young Men., Health Economics published online ,"Williams, Jenny and Jan C. van Ours. ",2020
"Adverse Childhood Experiences, Early and Nonmarital Fertility, and Women's Health at Midlife."," Journal of Health and Social Behavior 60,3 ","Williams, Kristi and Brian Finch. ",2019
"First-birth Timing, Marital History, and Women's Health at Midlife."," Journal of Health and Social Behavior 56,4 ","Williams, Kristi, Sharon Sassler, Fenaba Addo and Adrianne Frech. ",2015
Mothers’ Union Histories and the Mental and Physical Health of Adolescents Born to Unmarried Mothers.," Journal of Health and Social Behavior 54,3 ","Williams, Kristi, Sharon Sassler, Adrianne Frech, Fenaba Addo and Elizabeth C. Cooksey. ",2013
"Nonmarital Childbearing, Union History, and Women’s Health at Midlife."," American Sociological Review 76,3 ","Williams, Kristi, Sharon Sassler, Adrianne Frech, Fenaba Addo and Elizabeth C. Cooksey. ",2011
"Have Children Adapted to Their Mothers Working, or Was Adaptation Unnecessary? Cohort Effects and the Relationship Between Maternal Employment and Child Well-Being."," Social Science Research 41,2 ","Wills, Jeremiah B. and Jonathan R. Brauer. ",2012
"Race and Women's Income Trajectories: Employment, Marriage, and Income Security Over the Life Course."," Social Problems 50,1 ","Willson, Andrea E. ",2003
Racial Disparities in Income Security for a Cohort of Aging American Women.," Social Forces 80,4 ","Willson, Andrea E. and Melissa A. Hardy. ",2002
"Psychology, Money, and Marital Arguments: What Shapes a Woman's Happiness Level?"," Journal of Financial Planning 28,8 ","Wilmarth, Melissa, Martin C. Seay and Sonya L. Britt. ",2015
Intelligence and Past Use of Recreational Drugs.," Intelligence 40,1 ","Wilmoth, Daniel R. ",2012
Migration of Hispanic Youth and Poverty Status: A Logit Analysis.," Rural Sociology 56,2 ","Wilson-Figueroa, Maria E., Eddy Helen Berry and Michael B. Toney. ",1991
"Breaking New Ground: A Longitudinal Comparison of Onward Migration by Hispanics, Blacks and Whites in the US ."," Population and Society 4,2 ","Wilson, Beth A., Eddy Helen Berry and Michael B. Toney. ",2008
A Panel Based Analysis of the Effects of Race/Ethnicity and Other Individual Level Characteristics at Leaving on Returning.," Population Research and Policy Review 28,4 ","Wilson, Beth A., Eddy Helen Berry, Michael B. Toney, Young-Taek Kim and John B. Cromartie. ",2009
Doing Well by Doing Good: Volunteering and Occupational Achievement Among American Women.," Sociological Quarterly 44,3 ","Wilson, John and Marc Musick. ",2003
An Analysis of Initial Occupational and Educational Choices of Black and White Men and Women.," Review of Business and Economic Research 15,2 ","Wilson, R. Mark. ",1979-80
A Longitudinal Study of Antisocial Behaviors in Early Adolescence as Predictors of Late Adolescent Substance Use: Gender and Ethnic Group Differences.," Journal of Abnormal Psychology 99,1 ","Windle, Michael T. ",1990
"Mate Similarity, Heavy Substance Use and Family History of Problem Drinking Among Young Adult Women."," Journal of Studies on Alcohol 58,6 ","Windle, Michael T. ",1997
On The Discriminative Validity of a Family History of Problem Drinking Index With a National Sample of Young Adults.," Journal of Studies on Alcohol 57,4 ","Windle, Michael T. ",1996
Substance Use and Abuse Among Adolescent Runaways: A Four-Year Follow-up Study.," Journal of Youth and Adolescence 18,4 ","Windle, Michael T. ",1989
Cognitive Ability and Drinking Behavior in a National Sample of Young Adults.," Alcoholism: Clinical and Experimental Research 13,1 ","Windle, Michael T. and Howard T. Blane. ",1989
"Antecedents and Correlates of Alcohol, Cocaine, and Alcohol-Cocaine Abuse in Early Adulthood."," Journal of Drug Education 21,2 ","Windle, Michael T. and Carol T. Miller. ",1991
"Husbands' and Wives' Relative Earnings: Exploring Variation by Race, Human Capital, Labor Supply, and Life Stage."," Journal of Family Issues 30,10 ","Winslow-Bowe, Sarah E. ",2009
The Persistence of Wives' Income Advantage.," Journal of Marriage and Family 68,4 ","Winslow-Bowe, Sarah E. ",2006
The Best of Intentions: A Structural Analysis of the Association between Socioeconomic Disadvantage and Unintended Pregnancy in a Sample of Mothers from the National Longitudinal Survey of Youth (1979).," Women's Health Issues 27,1 ","Wise, Akilah, Arline T. Geronimus and Pamela Jane Smock. ",2017
"The Effects of Gender Segregation, Labor Force Participation, and Family Roles on the Earnings of Young Adult Workers."," Work and Occupations 22,1 ","Witkowski, Kristine M. and Kevin T. Leicht. ",1995
Encouraged or Discouraged? The Effect of Adverse Macroeconomic Conditions on School Leaving and Reentry., Sociology of Education published online ,"Witteveen, Dirk. ",2020
Health of Infants Born to Teenage Mothers Affected More by Family Background than by Mother's Age.," Family Planning Perspectives 25,4 ","Witwer, M. ",1993
Pregnancy Risk Lessened For Teenagers with High Educational Aspirations.," Family Planning Perspectives 25,4 ","Witwer, M. ",1993
Simplicity and Complexity in the Effects of Parental Structure on High School Graduation.," Demography 30,4 ","Wojtkiewicz, Roger A. ",1993
Hispanic Educational Attainment: The Effects of Family Background and Nativity.," Social Forces 74,2 ","Wojtkiewicz, Roger A. and Katharine M. Donato. ",1995
Self-Esteem and the Development of Partisan Identity., Political Research Quarterly published online ,"Wolak, Jennifer and Carey E. Stapleton. ",2019
"Racial Wage Differences among Young Male Job Changers: The Relative Contribution of Migration, Occupation Change, Site Characteristics, and Human Capital."," Growth and Change 37,1 ","Wolaver, Amy M. and Nancy E. White. ",2006
"Not Getting Their Money’s Worth: African-American Disadvantages in Converting Income, Wealth, and Education into Residential Quality."," Urban Affairs Review 45,1 ","Woldoff, Rachael A. and Seth Ovadia. ",2009
Childbearing and/or Labor Force Participation: the Education Connection., Research in Population Economics 2 ,"Wolfe, Barbara L. ",1980
Age at First Birth and Alcohol Use.," Journal of Health and Social Behavior 50,4 ","Wolfe, Joseph D. ",2009
"Age, Cohort, and Social Change: Parental and Spousal Education and White Women's Health Limitations From 1967 to 2012 ."," Research on Aging 41,2 ","Wolfe, Joseph D. ",2019
"Maternal Alcohol Use Disorders and Depression in Emerging Adulthood: Examining the Relevance of Social Ties, Childhood Adversity, and Socioeconomic Status.", Psychiatry Research 257 ,"Wolfe, Joseph D. ",2017
The Effects of Maternal Alcohol Use Disorders on Childhood Relationships and Mental Health.," Social Psychiatry and Psychiatric Epidemiology 51,10 ","Wolfe, Joseph D. ",2016
The Effects of Socioeconomic Status on Child and Adolescent Physical Health: An Organization and Systematic Comparison of Measures.," Social Indicators Research 123,1 ","Wolfe, Joseph D. ",2015
Who's Hurt Most by Economic Shock? Exploring Heterogeneity in the Health-Related Effects of Wealth Loss.," Innovation in Aging 4, S1 ","Wolfe, Joseph D. ",2020
Wealth and Obesity Among US Adults Entering Midlife.," Obesity 27,12 ","Wolfe, Joseph D., Elizabeth H. Baker and Isabel C. Scarinci. ",2019
"Multigenerational Attainments, Race, and Mortality Risk among Silent Generation Women."," Journal of Health and Social Behavior 59,3 ","Wolfe, Joseph D., Shawn Bauldry, Melissa A. Hardy and Eliza K. Pavalko. ",2018
Multigenerational Socioeconomic Attainments and Mortality Among Older Men: An Adjacent Generations Approach., Demographic Research 39 ,"Wolfe, Joseph D., Shawn Bauldry, Melissa A. Hardy and Eliza K. Pavalko. ",2018
"Divorce, Economic Resources, and Survival among Older Black and White Women.", Journal of Marriage and Family published online ,"Wolfe, Joseph D. and Mieke Beth Thomeer. ",2020
On the Measurement of Low Self-Control in Add Health and NLSY79.," Psychology, Crime and Law 22,7 ","Wolfe, Scott E. and John P. Hoffmann. ",2016
Education Data in the NLSY79: A Premiere Research Tool.," Monthly Labor Review 128, 2 ","Wolpin, Kenneth I. ",2005
Estimating a Structural Search Model: The Transition from School to Work.," Econometrica 55,4 ","Wolpin, Kenneth I. ",1987
"The Determinants of Black-White Differences in Early Employment Careers: Search, Layoffs, Quits and Endogenous Wage Growth."," Journal of Political Economy 100,3 ","Wolpin, Kenneth I. ",1992
Women's Retirement Expectations: How Stable Are They?," Journals of Gerontology: Series B: Psychological Sciences and Social Sciences 64B,1 ","Wong, Jen D. and Melissa A. Hardy. ",2009
Does Bully Victimization Predict Future Delinquency? A Propensity Score Matching Approach.," Criminal Justice and Behavior 40,11 ","Wong, Jennifer S. and Matthias Schonlau. ",2013
