title,keywords,authors,journal,year
Foreclosure Migration and Neighborhood Outcomes: Moving Toward Segregation and Disadvantage,"Keywords: Housing, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Hall, Matthew, Crowder, Kyle, Spring, Amy, and Gabriel, Ryan.", Social Science Research, 2018
Income Volatility and Mobility: A Conceptual Exploration of Two Frameworks,"Keywords: Aging, Income, Labor Market & Outcomes, Statistical & Econometric Methods, Wealth, Assets & Pensions","Latner, Jonathan P.", Research in Social Stratification and Mobility, 2018
How Will Persistent Low Expected Returns Shape Household Economic Behavior?& Finance,"Keywords: Expenditures, Savings & Consumption, Retirement, Wealth, Assets & Pensions","Horneff, Vanya, Maurer, Raimond, and Mitchell, Olivia S.", Journal of Pension Economics & Finance, 2018
Toward Understanding the Relationship of Temporal Changes in Demographic Structure to Changes in US Poverty,"Keywords: Aging, Labor Market & Outcomes, Poverty","Haveman, Robert and Wilson, Kathryn.", FinanzArchiv: Public Finance Analysis, 2018
The Burden of Out of Pocket Costs and Medical Debt Faced by Households with Chronic Health Conditions in the United States,"Keywords: Aging, Expenditures, Savings & Consumption, Health, Disability & Mortality","Richard, Patrick, Walker, Regine, and Alexandre, Pierre.", PloS One, 2018
The Two IncomeParticipation Gaps,"Keywords: Income, Life Course","Ojeda, Christopher.", American Journal of Political Science, 2018
Integrated Household Surveys: An Assessment Of U.S. Methods And An Innovation,Keywords: Survey Methodology,"Samphantharak, Krislert, Schuh, Scott, and Townsend, Robert M.", Economic Inquiry, 2018
Mobility and Volatility: What Is Behind the Rising Income Inequality in the United States,"Keywords: Income, Statistical & Econometric Methods","Wu, Huixuan and Li, Yao.", Physica A: Statistical Mechanics and its Applications, 2018
Micro-Level Estimation of Optimal Consumption Choice with Intertemporal Nonseparability in Preferences and Measurement Errors,"Keywords: Expenditures, Savings & Consumption, Statistical & Econometric Methods","Gayle, Wayne-Roy and Khorunzhina, Natalia.", Journal of Business & Economic Statistics, 2018
"Gentrification, Property Tax Limitation, and Displacement","Keywords: Government Transfers, Housing, Taxes","Martin, Isaac William and Beck, Kevin.", Urban Affairs Review, 2018
Step-grandparenthood in the United States,"Keywords: Aging, Family Formation & Composition, Intergenerational Influences & Transfers","Yahirun, Jenjira, Park, Sung S., and Seltzer, Judith A.", The Journals of Gerontology Series B: Psychological Sciences and Social Sciences, 2018
Testing for State Dependence in Binary Panel Data with Individual Covariates by a Modified Quadratic Exponential Model,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Bartolucci, Francesco, Nigro, Valentina, and Pigini, Claudia.", Econometric Reviews, 2018
"Parental Duties, Labor Market Behavior, and Single Fatherhood in America","Keywords: Family Formation & Composition, Income, Labor Market & Outcomes, Time Use & Home Production","Albert, Aaron.", Review of Economics of the Household, 2018
Do Rising Tides Lift All Boats Equally? Racial Disparities in Health across the Lifecourse among Middle-Class African-Americans and Whites,"Keywords: Aging, Health, Disability & Mortality, Life Course, Racial-Ethnic Differences","Colen, Cynthia G., Krueger, Patrick M., and Boettner, Beth.", SSM-Population Health, 2018
Income Inequality and Saving,"Keywords: Expenditures, Savings & Consumption, Income, International Studies","Alvarez-Cuadrado, F. and Vilalta, M. E.", Oxford Bulletin of Economics and Statistics, 2018
Generations of Advantage. Multigenerational Correlations in Family Wealth,"Keywords: Aging, Intergenerational Influences & Transfers, Wealth, Assets & Pensions","Pfeffer, Fabian T. and Killewald, Alexandra.", Social Forces, 2018
"Backup Parents, Playmates, Friends: Grandparents' Time With Grandchildren","Keywords: Child Development Supplement, Intergenerational Influences & Transfers, Time Use & Home Production","Dunifon, Rachel E., Near, Christopher E., and ZiolGuest, Kathleen M.", Journal of Marriage and Family, 2018
Self-Concept Predicts Academic Achievement across Levels of the Achievement Distribution: Domain Specificity for Math and Reading,"Keywords: Child Development Supplement, Education Attainment & Achievement","Susperreguy, Maria Ines, Davis-Kean, Pamela E., Duckworth, Kathryn, and Chen, Meichu.", Child Development, 2018
Childhood Poverty Dynamics and Adulthood Overweight/Obesity: Unpacking the Black Box of Childhood,"Keywords: Aging, Health, Disability & Mortality, Life Course, Poverty","Li, Miao, Mustillo, Sarah, and Anderson, James.", Social Science Research, 2018
Longitudinal Research on Social Dynamics: The PSID at 50 Years Preface,"Keywords: Income, Statistical & Econometric Methods, Survey Methodology","Pence, K.", The Annals of the American Academy of Political and Social Science, 2018
Optimal Social Security with Imperfect Tagging,"Keywords: Aging, Government Transfers, Health, Disability & Mortality, Labor Market & Outcomes","Denk, Oliver and Michau, Jean-Baptiste.", The Scandinavian Journal of Economics, 2018
"Mixed-Race Couples, Residential Mobility, and Neighborhood Poverty","Keywords: Family Formation & Composition, Neighborhoods & Geographic Mobility, Poverty, Racial-Ethnic Differences","Gabriel, Ryan.", Social Science Research, 2018
Subsidized Housing and the Transition to Adulthood,"Keywords: Government Transfers, Housing, Life Course","Kucheva, Yana.", Demography, 2018
The Long-Term Impact of the Earned Income Tax Credit on Children's Education and Employment Outcomes,"Keywords: Education Attainment & Achievement, Intergenerational Influences & Transfers, Labor Market & Outcomes, Taxes","Bastian, Jacob and Michelmore, Katherine.", Journal of Labor Economics, 2018
Family Instability in Childhood and Criminal Offending During the Transition Into Adulthood,"Keywords: Child Development Supplement, Family Formation & Composition, Transition to Adulthood Supplement","Bosick, Stacey J. and Fomby, Paula.", American Behavioral Scientist, 2018
"Uncertainty, Doubts, and Delays: Economic Circumstances and Childbearing Expectations Among Emerging Adults","Keywords: Family Formation & Composition, Income, Transition to Adulthood Supplement","Brauner-Otto, Sarah R. and Geist, Claudia.", Journal of Family and Economic Issues, 2018
The Role of Residential Segregation in Explaining Racial Gaps in Childhood and Adolescent Obesity,"Keywords: Health, Disability & Mortality, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Ryabov, Igor.", Youth & Society, 2018
Heterogeneous Relationships between Labor Income and Health by Race/Ethnicity,"Keywords: Health, Disability & Mortality, Labor Market & Outcomes, Racial-Ethnic Differences","Meraya, Abdulkarim M., Dwibedi, Nilanjana, Innes, Kim, Mitra, Sophie, Tan, Xi, and Sambamoorthi, Usha.", Health Services Research, 2018
Parents’ Adverse Childhood Experiences and Their Children’s Behavioral Health Problems,"Keywords: Child Development Supplement, Health, Disability & Mortality, Intergenerational Influences & Transfers, Wellbeing","Schickedanz, Adam, Halfon, Neal, Sastry, Narayan, and Chung, Paul J.", Pediatrics, 2018
"Walkability, Transit, and Body Mass Index: A Panel Approach","Keywords: Health, Disability & Mortality, Neighborhoods & Geographic Mobility","Smart, Michael J.", Journal of Transport & Health, 2018
Parental Child Care during and Outside of Typical Work Hours,"Keywords: Child Development Supplement, Labor Market & Outcomes, Time Use & Home Production","Schoonbroodt, Alice.", Review of Economics of the Household, 2018
Remembrance of Cars and Buses Past: How Prior Life Experiences Influence Travel,"Keywords: Life Course, Neighborhoods & Geographic Mobility","Smart, Michael J. and Klein, Nicholas J.", Journal of Planning Education and Research, 2018
New Social Program Participation During the Great Recession: The Case of SNAP,"Keywords: Government Transfers, Poverty","Grieger, Lloyd.", Social Science Quarterly, 2018
Economic Insecurity and Fertility: Does Income Volatility Impact the Decision to Remain a One-Child Family?,"Keywords: Family Formation & Composition, Income","Mansour, Fady.",Economic Insecurity and Fertility: Does Income Volatility Impact the Decision to Remain a One-Child Family? Journal of Family and Economic Issues, 2018
The Finite Sample Performance of Inference Methods for Propensity Score Matching and Weighting Estimators,"Keywords: International Studies, Statistical & Econometric Methods","Bodory, Hugo, Camponovo, Lorenzo, Huber, Martin, and Lechner, Michael.", Journal of Business & Economic Statistics, 2018
Childhood Circumstances and Adult Outcomes: Act II,"Keywords: Aging, Child Development Supplement, Intergenerational Influences & Transfers, Life Course, Statistical & Econometric Methods","Almond, Douglas, Currie, Janet, and Duque, Valentina.", Journal of Economic Literature, 2018
Skewed Wealth Distributions: Theory and Empirics,"Keywords: International Studies, Statistical & Econometric Methods, Wealth, Assets & Pensions","Benhabib, Jess and Bisin, Alberto.", Journal of Economic Literature, 2018
Life Satisfaction Favors Reproduction The Universal Positive Effect of Life Satisfaction on Childbearing in Contemporary Low Fertility Countries,"Keywords: Family Formation & Composition, International Studies, Wellbeing","Mencarini, Letizia, Vignoli, Daniele, Zeydanli, Tugba, and Kim, Jungho.", PLoS ONE, 2018
Male Labor Supply and Generational Fiscal Policy,"Keywords: Gender Differences, Government Transfers, Labor Market & Outcomes, Taxes","vom Lehn, Christian, Gorry, Aspen, and Fisher, Eric O'N.", Review of Economic Dynamics, 2018
"As Disaster Costs Rise, So Does Inequality","Keywords: Poverty, Racial-Ethnic Differences","Howell, Junia and Elliott, James R.", Socius: Sociological Research for a Dynamic World, 2018
Examining the life course sequence of intending to move and moving,"Keywords: Life Course, Neighborhoods & Geographic Mobility, Statistical & Econometric Methods","Clark, William AV and Lisowski, William."," Population, Space and Place", 2018
Gender and the Residential Mobility and Neighborhood Attainment of Black-White Couples,"Keywords: Gender Differences, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Gabriel, Ryan.", Demography, 2018
Turbulence and the Employment Experience of Older Workers,"Keywords: Aging, Labor Market & Outcomes","Lalé, Etienne.", Quantitative Economics, 2018
"Social Sequencing to Determine Patterns in Health and Work-Family Trajectories for U.S. Women, 1968–2013","Keywords: Aging, Family Formation & Composition, Health, Disability & Mortality, Labor Market & Outcomes, Life Course, Statistical & Econometric Methods","McKetta, Sarah, Prins, Seth J., Platt, Jonathan, Bates, Lisa M., and Keyes, Katherine.", SSM-Population Health, 2018
Hard vs. Soft Financial Constraints: Implications for the Effects of a Credit Crunch,"Keywords: Expenditures, Savings & Consumption, Statistical & Econometric Methods","Alonso, Cristian.", Journal of Macroeconomics, 2018
"Capability Deprivation, and the Intergenerational Transmission of Social Disadvantages—Empirical Evidence from Selected Countries","Keywords: Intergenerational Influences & Transfers, International Studies","Eberharter, Veronika V.", Social Sciences, 2018
The Health of Male Veterans in Later Life,"Keywords: Aging, Health, Disability & Mortality, Life Course","Wilmoth, Janet M., Landes, Scott D., and London, Andrew S.", Annual Review of Gerontology and Geriatrics, 2018
Determinants of Participation in Voluntary Work: a Systematic Review and Meta-Analysis of Longitudinal Cohort Studies,"Keywords: Family Formation & Composition, Philanthropy","Niebuur, Jacobien, van Lente, Lidy, Liefbroer, Aart C., Steverink, Nardi, and Smidt, Nynke.", BMC Public Health, 2018
The Impact of Age on Income-Related Health Status Inequalities from Birth to Adolescence: A Systematic Review with Cross-Country Comparisons,"Keywords: Child Development Supplement, Health, Disability & Mortality, Income, International Studies","van Zwieten, Anita, Saglimbene, Valeria, Teixeira-Pinto, Armando, Howell, Martin, Howard, Kirsten, Craig, Jonathan C., and Wong, Germaine.", The Journal of Pediatrics, 2018
A U-turn in Inequality in College Attainment By Parental Education in the US?,"Keywords: Education Attainment & Achievement, Intergenerational Influences & Transfers, Statistical & Econometric Methods","Bernardi, Fabrizio, Hertel, Florian R., and Yastrebov, Gordey.",A U-turn in Inequality in College Attainment By Parental Education in the US? Research in Social Stratification and Mobility, 2018
The Determinants of Racial Differences in Parenting Practices,"Keywords: Intergenerational Influences & Transfers, Racial-Ethnic Differences","Thompson, Owen.", Journal of Political Economy, 2018
